base,past_simple,past_participle,meaning_en
be,was/were,been,exist or have identity
have,had,had,possess or hold
do,did,done,perform or carry out
say,said,said,speak or express words
go,went,gone,move or travel somewhere
get,got,gotten,receive or obtain something
make,made,made,create or produce something
know,knew,known,be aware or understand
think,thought,thought,form ideas or consider
take,took,taken,grasp or accept something
see,saw,seen,perceive with the eyes
come,came,come,move or arrive toward
give,gave,given,transfer or provide something
find,found,found,discover or locate something
tell,told,told,inform or narrate something
